,category,text
37,не работает bankname,акц ик num месторасположения ус нижегородская обл пос пруды краснобаковский р н клиент жалуется после новогодних name bankname вышел name name и до сих пор не установлен новый клиенты не могут снять денежные средства
38,отключение рекламных рассылок,акц комфортел num номер на который поступают звонки num номер с которого поступают звонки num вопрос клиента клиент не желает получать звонки от bankname с предложением оформить продукты и услуги bankname
39,жалоба на продукты услуги bankname,акц комфортел num регион name край населенный пункт красноярск вопрос клиента в г красноярск ул мусорского 18 не корректно раболтает bankname не переводит переодически денежные средства не ищет name
40,отключение рекламных рассылок,акц комфортел num территориальный bankname среднерусский bankname телефона отправителя смс уведомления num телефона на который поступило смс num вопрос клиента отключить рекламную рассылку
41,жалоба на продукты услуги bankname,акц комфортел num регион город москва населенный пункт город москва вопрос клиента на станции метро name name перестал работать bankname очень нужен на name станции просим отремонтировать в кратчайшие сроки
42,причина кто наложил арест,акц комфортел num всп bankname в котором ведется счет г санкт петербург пр просвящения карты счета вклада num num дата подачи документов на снятие наложение ареста date вопрос клиента причина кто наложил арест
43,жалоба на продукты услуги bankname,акц комфортел num регион оренбургская область населенный пункт п светлый раойн сакмарский вопрос клиента не работает bankname касса и bankname интересуется когда будет восстановлен bankname
44,смс рассылка,акц аудиотеле num клиент обращается name г москва клиенту на номер num поступают смс с номера num рекламного характера просьба отключить смс информирование по продуктам и услугам сб рекламного характера
45,статус исполнительного документа,акц комфортел num всп bankname в котором ведется счет ижевск карты счета вклада дата подачи документов на снятие наложение ареста date вопрос клиента статус исполнительного документа
46,жалоба связана с услугой мобильный bankname,акц комфортел num регион омская область населенный пункт г омск вопрос клиента я не могу отправить перевод при помощи услуги мб на карту стороннего bankname num
47,претензия,29 января num года на официальном сайте bankname была оформлена заявка num на выпуск дебетовой карты с индивидуальным дизайном сегодня num прошло уже 6 рабочих дней а ответ о стадии рассмотрения заявки я так и не получила
48,ипотека,добрый день одобрена ипотека в bankname одобрили num если в срок 2 мес мы не найдем подходящую квартиру через какое время мы снова можем подать заявку и возможно ли это и есть ли гарантия того что и 2 раз будет одобрение
49,жалоба,не могу на карты внести деньги уже второй день не работают bankname на акушинского 29 рядом с яблочко почему такая проблема для махачкалы настроить bankname нужно ждать до понедельника пока не будет работать bankname
50,возврат денежных средств,date года я name name оплатил госпошлину в размере num руб по ошибочным реквизитам у организации поменялся бик date года прошу вернуть раннее уплаченную сумму по ошибочным реквизитам в размере num руб
51,жалоба связана с услугой bankname онлайн,акц комфортел num регион город москва населенный пункт москва вопрос клиента не правильные реквизиты при оплате сотовой связи по номеру num date через программу сбол в размере 70 рублей
52,смс рассылка,акц аудиотеле num алтайский край п name date после time со слов клиента зызлаевой name name с номера num на номер num поступают смс сообщения на имя name name переводите свои bankname в bankname
53,претензия,с моей карты num date и date было несанкционированное списание по num рублей в общей сумме tr прошу разобраться в name ситуации и вернуть денежные средства мне на карту
54,вопрос,здравствуйте вопрос можно получить карту в нижнем новгороде удобном для меня отделении bankname если карта изготовлена и находиться в отделение города кулебаки нижегородская обл карта социальная
55,кредитная карта,акц ик num у клиента в конце прошлого года истекла кредитная карта карта оформлялась на перевыпуск в феврале перевыпущенная карта пришла без пин конверта дважды данные события произошли в оф num
56,претензия,прошу вас убрать name своей базы мой номер num принадлежащий мне на основании заключенного договора от date с компанией ооо т2 мобайл так как номер более не принадлежит бывшему владельцу
57,благодарность,здравствуйте хотелось бы поблагодарить за очень качественно обслуживание двух консультак к сожалению не узнал их имен в отделении которое располагается по адресу город заринск улица металлургов num
58,не работает bankname,когда отремонтируют bankname по адрессу п правдинский шоссе степаньковское 17 срочно нужно сделать перевод сотрудники отделения bankname отказывают ссылаясь на то что такую операцию надо производить через bankname
59,многозвонящий клиент,акц комфортел num многозвонящий клиент омск желает чтобы немедленно подключили мобильный bankname ждать никого не собирается подключить самостоятельно отказывается
60,отключение рекламных рассылок,акц комфортел num номер на который поступают звонки num номер с которого поступают звонки num вопрос клиента просьба незвонить и не рассылать сообщения на номер num это другой хозяин
61,вопрос по материальной экономической выгоде,акц комфортел num name материальной экономической выгоды num номер всп направившего уведомление name краткое содержание письма уплата налога вопрос клиента в связи с чем поступило письмо
62,консультация,добрый день я являясь поручителем исполнила обязательства за заемщика для предъявления в суд мне нужна справка о name что я исполнила за заемщика обязвтельства по погашению долга который он не оплачивал как мне получить такой документ
63,жалоба,не могу получить карту просидел в очереди час с лишним очень медленно работают сотрудники грубо отвечают на вопросы прошу провести воспитательную беседу
64,жалоба на продукты услуги bankname,акц комфортел num регион город санкт петербург населенный пункт санкт петербург вопрос клиента name обороны дом 70 номер bankname num bankname забирает и не отдает карты неоднократное обращение
65,отключение рекламных рассылок,акц комфортел num территориальный bankname северо западный bankname телефона отправителя смс уведомления num телефона на который поступило смс num вопрос клиента исключить name рассылок данный номер по кредитам третьих лиц
66,жалоба на продукты услуги bankname,акц комфортел num регион город москва населенный пункт name пруды 12 кор 1 вопрос клиента режим работы с time не обслужили талон т1 специалистов нет в очереди 30 мин
67,возврат денежных средств,date с карты num произошло списание денежных средств в размере num рублей в адрес компании билайн на tr с тех пор деньги были списаны с карты но на номер телефона не поступили просьба вернуть денежные средства на карту
68,консультация,здравствуйте можно ли перевести на карту bankname казахстан с карты bankname россии через приложение например какой тариф если можно и можно ли узнать всю информацию спасибо num аманкелди name с уважением name
69,жалоба на продукты услуги bankname,акц комфортел num регион name область населенный пункт пос икша вопрос клиента не работает bankname полная неработоспособность bankname один в поселке икша не работает на протяжение 2 мес
70,претензии на доп офис,подробное описание произошедшей ситуации деньги по кредиту были отправлена на неверный счет по ошибке оператора bankname обещал перезвонить но ответа до сиз пор
71,жалоба,date вносила на карту num в bankname num 00 р зачислилось только num 00 р как сказали в отделении num 00 р bankname зажевал прошу вернуть num 00 р на мою карту обратно
72,перевыпуск карты,добрый вечер хотел бы узнать дебетовая карта перевыпускается автоматически и еще один вопрос могу ли попросить чтоб карту прислали в ближайшее отделение num последние 4 цифры номера карты
73,жалоба,я переводил деньги через url деньги ушли на счёт в bankname но на карту так и не пришли с какой стати деньги онлайн идут на счёт до 3 дней я не понял и смысл онлайн пополнений тогда я хотел сделать покупки в интернете сегодня а не через 3 дня
74,статус исполнительного документа,акц комфортел num всп bankname в котором ведется счет ул революции 60 карты счета вклада num дата подачи документов на снятие наложение ареста date вопрос клиента статус исполнительного документа
75,неработоспособность ус,акц ик num со слов клиента г обнинск безобразное обслуживание bankname сегодня центральный универмаг name 4 х bankname работает один огромная очередь
76,неработоспособность ус,со слов клиента в городе брянск постоянно не работает ус висит табличка не работает уже долгое время приходится ходить за несколько км чтобы положить денежные средства
77,смс рассылка,акц ик личный номер num обращается клиент name name он не является клиентом bankname ему приходят смс с номера num с предложениях на имя какую либо name name на номер num просьба отключить смс информирование
78,общие обращения,акц комфортел num на мой номер телефона num поступают звонки от специалистов bankname и уточняют информацию позвонили ли они name name или нет данного человека я не знаю номер мне пренадлежит более 3 лет прошу прекратить данные звонки
79,многозвонящий клиент,акц комфортел num многозвонящий клиент омск просит что бы перезвонил сотрудник name многофункциаонального центра а п самохвала в срочном порядке в течении часа клиент грозиться обратиться в прокуратуру
80,жалоба,сидели в очереди все операционисты свобдны но ни кто не вызывает так происходило около 10 минут пока не спросили в чем дело мо г железнодорожный ул пролетарская date
81,жалоба на продукты услуги bankname,акц комфортел num регион name область населенный пункт химки вопрос клиента было сокращение name всп date num отделение num не было второй выплаты по сокращению
82,жалоба на продукты услуги bankname,акц комфортел num регион name область населенный пункт воронеж вопрос клиента предложение от клиента по поводу подключения сервиса мобильного bankname по вкладам в name области
83,многозвонящий клиент,num многозвонящий клиент екатеринбург клиент позвонил в кц общался в оператором личный номер num данный оператор отказался перевести звонок на руководителя
84,жалоба на продукты услуги bankname,акц комфортел num регион алтайский край населенный пункт город бийск вопрос клиента важно понимать будет ли дальнейшее возобновление образовательного кредита с гос поддержкой
85,жалоба на продукты услуги bankname,акц комфортел num регион карачаево черкесская республика населенный пункт аул адыгехабль вопрос клиента клиенту поступают смс сообщения на имя name name с номера num на номер num
86,претензия,доброй ночи дорогой bankname я хочу предъявить претензию по поводу того что мой надежный и любимый bankname не поздравил меня с днём рождения день рождения у меня сегодня 8 марта
87,консультация,добрый день возможно ли уменьшение процентной ставки по ипотечному кредитованию построенного жилья молодая семья с 12 дог ипот кредитования оформлен до предлагаемой ставки 10 75
88,жалоба связана с услугой bankname онлайн,акц комфортел num регион тюменская обл населенный пункт харты мансийск вопрос клиента при заходе в bankname он name не показывает информацию о кредитах
89,причина кто наложил арест,акц комфортел num всп bankname в котором ведется счет город екатеринбург номер отделения num карты счета вклада последние num дебетовая вопрос клиента причина кто наложил арест
90,претензии на доп офис,акц комфортел num субъект федерации г москва населенный пункт г москва улица дом 16 дата и время произошедшей ситуации обращения в всп date подробное описание произошедшей ситуации
91,жалоба на продукты услуги bankname,акц комфортел num регион name область населенный пункт обнинск вопрос клиента купила номер телефона num стали звонить от bankname по бывшему владельцу прошу не беспокоить
92,розыск всп,акц ик num номер всп num адрес всп регион город улица номер дома г миасс челябинская область категория обслуживания клиента фл причина обращения в всп перевыпуск карты
93,жалоба на продукты услуги bankname,акц комфортел num регион ленинградская область населенный пункт г name вопрос клиента со слов клиента прошу объснить почему была введена комиссия при оплате платежей за кредит оформленный в сетелем bankname
94,bankname онлайн,у меня в bankname онлайн отображаетс только одна моя карта моментум а вторая маестро социальная не отбражается что уже не делал но так информация и не проходит прошу разобраться и привязать мою вторую карту num в bankname онлайн
95,розыск всп,я name name name ранее получал дебетовую карту в офисе г краснодар ул рашпелевская дом 7 номер num данный офис bankname закрыт где я теперь я могу получить карту по истечению срока
96,благодарность,выражаю признательность за оперативную помощь в решении проблем name ю н заместителю всп num он всегда готов прийти на помощь на протяжении многих лет его работы он показал себя с самой лучшей стороны он отличный человек и руководитель
97,смс рассылка,я нестевенко name name хотела бы получать смс рассылку на свой мобильный связанные с акцями и предложениями по услугам и продуктам bankname на номер телефона num
98,отключение рекламных рассылок,акц комфортел num номер на который поступают звонки num номер с которого поступают звонки num вопрос клиента отключить смс оповещения на другого человека
99,жалоба,санкт петербуг структурное подразделение bankname на пр науки д 14 работники bankname навязывают услуги припятствуют снятию денег со счетов говоря при этом что в bankname нет денег
100,благодарность,добрый день хочу выразить благодарность сотруднику отделения bankname num в городе наро фоминске name name очень терпеливый сотрудник готовый решать сложные задачи при возможности прошу поощрить данного сотрудника
101,жалоба на продукты услуги bankname,акц комфортел num регион республика калмыкия населенный пункт город элиста вопрос клиента клиенту поступают смс уведомления по чужому исполнительному производству с номера num на номер num
102,жалоба,нет возможно обслужиться в вашем bankname на name 39 в махачкале этот bankname самый загруженный всех принимают по живой очереди не работает устройство которое талоны должно выдать просто бардак
103,общие обращения,акц комфортел num регион город москва населенный пункт москва вопрос клиента в кредитной истории отображается что плохой кредитный рейтинг но при этом у клиента нет просрочек не по одному кредитному договору
104,причина кто наложил арест,акц комфортел num всп bankname в котором ведется счет num карты счета вклада num вопрос клиента причина кто наложил арест мне неообходимо получить контактные данные того кто наложил на счет карты арест
105,bankname,я со вчерашнего дня хожу периодически к bankname в каспийске чтобы пополнить свою карту не возможно это сделать никогда bankname не принимают деньги на карту когда вы с этим разберетесь
106,смс рассылка,акц аудиотеле акц num на мой номер телефона num поступает информация по карте num которая мне не принадлежит прошу проверить данную информацию и исключить мой номер телефона name смс рассылок проводимых bankname
107,жалоба,хотел на карту деньги закинуть но не возможно вроде бы зона 24 часа написано но ни один bankname не принимает деньги на name 66 в махачкале разберитесь
108,претензия,мною в марте была подана претензия по ипотечному договору num от date и отдел по проблемной задолженности в г спб где я подробно изложила суть дела но до сих пор нет ни каких результатов прошу рассмотреть и ответить мне по существу
109,отключение рекламных рассылок,акц комфортел num территориальный bankname северный bankname телефона отправителя смс уведомления num телефона на который поступило смс num вопрос клиента отключить смс рассылку с акциями о одобрении кридита
110,жалоба,добрый вечер хочу обратить ваше внимание на то что в городе махачкала bankname на взнос не работают являясь вашим клиентом и имея желание им оставаться прошу вас привести в порядок свои устройства спасибо
111,обслуживание,акц ик num клиенту выпустили кредитную карту вместе с картой зарплатного проекта клиент согласия не давал и заявку не оформлял на карту просьба закрыть счет name карты требуют уничтожить карту
112,отключение рекламных рассылок,акц комфортел num номер на который поступают звонки num номер с которого поступают звонки num вопрос клиента не хочет что бы ему поступали исходящие звонки от bankname звонки поступают с tr и так же с tr
113,жалоба,прошу прекратить мне рассылку о name мне нужно приехать за перевышенной картой но я обращался в офис bankname за 1 5 месяца чтоб выпустить по name адресу где мне нужно и получил ее уже прошу принять меры
114,жалоба связана с услугой мобильный bankname,акц комфортел num регион омская область населенный пункт омск вопрос клиента не может подключить мобильный bankname не приходит вторая смс с кодом подтверждения
115,обслуживание,акц ик num ростов на name name name 35а name name 17 проспект name 99 не печатаются платежи в bankname в данных отделениях данная ситуация продолжается в течении нескольких месяцев клиент положил трубку до заполнения личной информации
116,вопрос,позвонили с номера num не успел взять трубку перезваниваю не правильно набран номер телефон в списке разрешенных на сайте зачем звонить с таких номеров на которые нельзя перезвонить
117,отключение рекламных рассылок,акц комфортел num номер на который поступают звонки num номер с которого поступают звонки num вопрос клиента просьба не звонить с предложением оформить продукты и услуги bankname
118,жалоба на продукты услуги bankname,акц комфортел num регион name область населенный пункт г тула вопрос клиента num num не принимаю наличные средства устройства самообслуживания решите пожалуйта вопрос
